date,time,open,close
2020-03-18,20200318093500000,5.2800,5.2600
2020-03-18,20200318094000000,5.2600,5.2900
2020-03-18,20200318094500000,5.2900,5.3000
2020-03-18,20200318095000000,5.3100,5.3200
2020-03-18,20200318095500000,5.3200,5.3400
2020-03-18,20200318100000000,5.3300,5.3100
2020-03-18,20200318100500000,5.3100,5.2900
2020-03-18,20200318101000000,5.2800,5.2800
2020-03-18,20200318101500000,5.2700,5.2600
2020-03-18,20200318102000000,5.2500,5.2600
2020-03-18,20200318102500000,5.2600,5.2600
2020-03-18,20200318103000000,5.2600,5.2700
2020-03-18,20200318103500000,5.2600,5.2800
2020-03-18,20200318104000000,5.2800,5.2600
2020-03-18,20200318104500000,5.2600,5.2700
2020-03-18,20200318105000000,5.2700,5.2800
2020-03-18,20200318105500000,5.2800,5.2800
2020-03-18,20200318110000000,5.2800,5.2900
2020-03-18,20200318110500000,5.2900,5.2700
2020-03-18,20200318111000000,5.2800,5.2800
2020-03-18,20200318111500000,5.2800,5.2700
2020-03-18,20200318112000000,5.2700,5.2900
2020-03-18,20200318112500000,5.2900,5.2900
2020-03-18,20200318113000000,5.2900,5.2900
2020-03-18,20200318130500000,5.2900,5.2600
2020-03-18,20200318131000000,5.2600,5.2700
2020-03-18,20200318131500000,5.2600,5.2600
2020-03-18,20200318132000000,5.2600,5.2300
2020-03-18,20200318132500000,5.2300,5.2300
2020-03-18,20200318133000000,5.2200,5.2300
2020-03-18,20200318133500000,5.2200,5.2300
2020-03-18,20200318134000000,5.2200,5.2300
2020-03-18,20200318134500000,5.2200,5.2300
2020-03-18,20200318135000000,5.2300,5.2300
2020-03-18,20200318135500000,5.2400,5.2200
2020-03-18,20200318140000000,5.2100,5.2200
2020-03-18,20200318140500000,5.2200,5.2200
2020-03-18,20200318141000000,5.2200,5.2200
2020-03-18,20200318141500000,5.2100,5.2100
2020-03-18,20200318142000000,5.2100,5.1900
2020-03-18,20200318142500000,5.2000,5.1900
2020-03-18,20200318143000000,5.1900,5.1900
2020-03-18,20200318143500000,5.1900,5.1900
2020-03-18,20200318144000000,5.1900,5.1900
2020-03-18,20200318144500000,5.1900,5.1700
2020-03-18,20200318145000000,5.1700,5.1700
2020-03-18,20200318145500000,5.1800,5.1600
2020-03-18,20200318150000000,5.1600,5.1500
2020-03-19,20200319093500000,5.1500,5.1600
2020-03-19,20200319094000000,5.1600,5.1700
2020-03-19,20200319094500000,5.1600,5.1400
2020-03-19,20200319095000000,5.1400,5.1100
2020-03-19,20200319095500000,5.1100,5.1200
2020-03-19,20200319100000000,5.1300,5.1100
2020-03-19,20200319100500000,5.1100,5.1000
2020-03-19,20200319101000000,5.1000,5.0800
2020-03-19,20200319101500000,5.0800,5.0900
2020-03-19,20200319102000000,5.0800,5.1000
2020-03-19,20200319102500000,5.1000,5.0900
2020-03-19,20200319103000000,5.0900,5.0800
2020-03-19,20200319103500000,5.0800,5.0800
2020-03-19,20200319104000000,5.0800,5.0600
2020-03-19,20200319104500000,5.0600,5.0700
2020-03-19,20200319105000000,5.0600,5.0500
2020-03-19,20200319105500000,5.0600,5.0300
2020-03-19,20200319110000000,5.0200,5.0200
2020-03-19,20200319110500000,5.0100,5.0100
2020-03-19,20200319111000000,5.0000,5.0100
2020-03-19,20200319111500000,5.0000,5.0300
2020-03-19,20200319112000000,5.0200,5.0400
2020-03-19,20200319112500000,5.0400,5.0400
2020-03-19,20200319113000000,5.0400,5.0400
2020-03-19,20200319130500000,5.0400,5.0200
2020-03-19,20200319131000000,5.0100,5.0200
2020-03-19,20200319131500000,5.0100,5.0100
2020-03-19,20200319132000000,5.0100,5.0300
2020-03-19,20200319132500000,5.0300,5.0500
2020-03-19,20200319133000000,5.0400,5.0600
2020-03-19,20200319133500000,5.0600,5.0500
2020-03-19,20200319134000000,5.0500,5.0500
2020-03-19,20200319134500000,5.0600,5.0800
2020-03-19,20200319135000000,5.0800,5.1000
2020-03-19,20200319135500000,5.0900,5.0700
2020-03-19,20200319140000000,5.0700,5.0600
2020-03-19,20200319140500000,5.0500,5.0600
2020-03-19,20200319141000000,5.0600,5.0700
2020-03-19,20200319141500000,5.0800,5.0800
2020-03-19,20200319142000000,5.0800,5.1100
2020-03-19,20200319142500000,5.1200,5.1000
2020-03-19,20200319143000000,5.1000,5.0900
2020-03-19,20200319143500000,5.0900,5.1000
2020-03-19,20200319144000000,5.1000,5.0800
